tag,episode,step,reward,throughput,normalized_throughput,ip4_udp_ratio,host_packet_ratio,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output
_fixed_all_32,4188,21,0.5741478571428571,4019034.9999999995,0.5741478571428571,0.2968570813640588,0.020753240516691196,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,22,0.57395,4017649.9999999995,0.57395,0.29679663484873,0.020782049207870273,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,23,0.5735437142857143,4014806,0.5735437142857143,0.29690550427592266,0.02070934436184463,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,24,0.5736552857142857,4015587,0.5736552857142857,0.29685049782260975,0.02071552677105489,0,32,32,32,32,32,32,32,32
_fixed_all_128,4194,1,0.6060078571428571,4242055,0.6060078571428571,0.2047434557071985,0.049310534634746606,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,2,0.6042552857142857,4229787,0.6042552857142857,0.2047358413083212,0.04931430353348762,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,3,0.6063035714285714,4244125,0.6063035714285714,0.20472488439902217,0.04930769004211705,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,4,0.60398,4227860,0.60398,0.20473360045034603,0.04928569063308624,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,5,0.566763,3967341,0.566763,0.20473863980938367,0.04932926108443918,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,6,0.6136895714285714,4295827,0.6136895714285714,0.22609430035241176,0.04071555954185306,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,7,0.6136321428571428,4295425,0.6136321428571428,0.22609939645087507,0.04070214239568844,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,8,0.613121,4291847,0.613121,0.22612059563167095,0.0407267547049091,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,9,0.612701,4288907,0.612701,0.22615435587668373,0.040693584635899074,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,10,0.6127468571428571,4289228,0.6127468571428571,0.2261164479948373,0.040691938036401885,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,11,0.6175052857142858,4322537,0.6175052857142858,0.2536063890257041,0.030037452542337983,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,12,0.579062,4053433.9999999995,0.579062,0.2535758569153957,0.030041934813789986,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,13,0.6165281428571429,4315697,0.6165281428571429,0.253612104834978,0.030044046187672584,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,14,0.6156327142857143,4309429,0.6156327142857143,0.2536020433333511,0.030032749118270658,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,15,0.6155192857142857,4308635,0.6155192857142857,0.25362324726972696,0.03004663890071914,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,16,0.6184952857142857,4329467,0.6184952857142857,0.2779044164096874,0.026747403317775607,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,17,0.6183781428571429,4328647,0.6183781428571429,0.27792356364471393,0.02674346048545885,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,18,0.619565,4336955,0.619565,0.27796645342181325,0.02673419484407839,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,19,0.6189104285714285,4332373,0.6189104285714285,0.27792089923928526,0.026739387398084145,0,128,128,128,128,128,128,128,128
