tag,episode,step,reward,throughput,normalized_throughput,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output,arp_loss_rate,icmp_loss_rate,igmpv2_loss_rate,host_packet_loss_rate
_fixed_all_32,2068,13,-2.7336507456672674,3891507.9999999995,0.5559297142857142,0.003074029586546972,32,32,32,32,32,32,32,32,0.4305540257737636,0.43736263736263736,0,0.4479155208447915
_fixed_all_32,2068,14,-2.5404589482436193,4047614.0000000005,0.5782305714285715,0.0029109211566528824,32,32,32,32,32,32,32,32,0.4083864118895966,0.4190788083667864,0,0.4200105876124934
_fixed_all_32,2068,15,-1.802864057814364,4673625,0.6676607142857143,0.0023306784699568556,32,32,32,32,32,32,32,32,0.32055117396428245,0.3389276966343101,0,0.32873103824143884
_fixed_all_32,2068,16,-1.7790854716033713,4788864,0.6841234285714286,0.0023083847736625513,32,32,32,32,32,32,32,32,0.3178542834267414,0.33511111111111114,0.33231816553206733,0
_fixed_all_32,2068,17,-1.7943054345277942,4782317,0.6831881428571429,0.002326785530513533,32,32,32,32,32,32,32,32,0.3199928850942725,0.34165255370353864,0.3293519921561637,0
_fixed_all_32,2068,18,-1.8267680676681883,4803025,0.6861464285714286,0.0023357453893442623,32,32,32,32,32,32,32,32,0.32592725318043364,0.35011215791834904,0.32912638739706407,0
_fixed_all_32,2068,19,-3.8623450379341917,3099367,0.4427667142857143,0.003997674169137151,32,32,32,32,32,32,32,32,0.5715079144682033,0.5863560267857143,0.5641807596340449,0
_fixed_all_32,2068,20,-3.7603834568383183,3152683,0.4503832857142857,0.003956936142294795,32,32,32,32,32,32,32,32,0.5563513513513514,0.5636754433100484,0.564279902359642,0
_fixed_all_32,2068,21,0.4856958571428571,3399871,0.4856958571428571,0,32,32,32,32,32,32,32,32,0,0,0,0
_fixed_all_32,2068,22,0.517459,3622213,0.517459,0,32,32,32,32,32,32,32,32,0,0,0,0
_fixed_all_32,2068,23,0.5187591428571429,3631314,0.5187591428571429,0,32,32,32,32,32,32,32,32,0,0,0,0
_fixed_all_32,2068,24,0.629232,4404624,0.629232,0,32,32,32,32,32,32,32,32,0,0,0,0
_fixed_all_64,2070,1,-5.149771241504912,3577170,0.5110242857142857,0.005375312162526998,64,64,64,64,64,64,64,64,0,0.7525008826644698,0.7490874838101966,0.7627298444130127
_fixed_all_64,2070,2,-5.161796689083712,3539360,0.5056228571428572,0.005406403207136048,64,64,64,64,64,64,64,64,0,0.7617127268414186,0.7451792263101857,0.7600758653390233
